dt_created,dt_updated,dt_filename,advertiser_id,country_name,insertion_order_name,insertion_order_id,unique_reach_total_reach,unique_reach_click_reach,unique_reach_impression_reach,impressions,unique_reach_average_impression_frequency,fetch_date
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1018732938,523337,12236,523337,1254075,2.4,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1018759718,130526,,130526,201140,1.54,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1018682442,547671,12536,547618,2036472,3.72,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1018746455,95460,1416,95345,259349,2.72,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1018746545,166934,4074,166934,535032,3.21,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1018294018,87365,1591,87365,330422,3.78,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1018687238,824822,22247,824822,3319282,4.02,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1019107927,453428,120,453428,1111856,2.45,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1018737104,898488,18935,898488,2205662,2.45,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1017953379,165973,4160,165966,714781,4.31,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1017779046,364248,4739,364243,629194,1.73,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1018755402,213953,1022,213914,726428,3.4,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1017942347,332813,7691,332775,1477806,4.44,27-11-2024
